label,source_value,paper_value,tolerance,status
tab:control s1_in_distribution n,31083,31083.0,0.6,ok
tab:control s1_in_distribution A macro_f1,0.8976745329305021,0.8977,0.0006,ok
tab:control s1_in_distribution A auc,0.9979803914573732,0.998,0.0006,ok
tab:control s1_in_distribution B macro_f1,0.727572264438971,0.7276,0.0006,ok
tab:control s1_in_distribution B auc,0.9921957341410401,0.9922,0.0006,ok
tab:control s2_unseen_generator n,41061,41061.0,0.6,ok
tab:control s2_unseen_generator A macro_f1,0.8685149127043924,0.8685,0.0006,ok
tab:control s2_unseen_generator A auc,0.9987140490823694,0.9987,0.0006,ok
tab:control s2_unseen_generator B macro_f1,0.6307399473843223,0.6307,0.0006,ok
tab:control s2_unseen_generator B auc,0.9938901652324729,0.9939,0.0006,ok
tab:control s3_unseen_language n,56631,56631.0,0.6,ok
tab:control s3_unseen_language A macro_f1,0.5667177563908041,0.5667,0.0006,ok
tab:control s3_unseen_language A auc,0.9194092103708106,0.9194,0.0006,ok
tab:control s3_unseen_language B macro_f1,0.3732746762547784,0.3733,0.0006,ok
tab:control s3_unseen_language B auc,0.8368352004362449,0.8368,0.0006,ok
tab:control s4_unseen_domain n,56731,56731.0,0.6,ok
tab:control s4_unseen_domain A macro_f1,0.40289540639502763,0.4029,0.0006,ok
tab:control s4_unseen_domain A auc,0.8716868471503693,0.8717,0.0006,ok
tab:control s4_unseen_domain B macro_f1,0.3170158660780568,0.317,0.0006,ok
tab:control s4_unseen_domain B auc,0.8162114068853786,0.8162,0.0006,ok
tab:control s5_compound n,4168,4168.0,0.6,ok
tab:control s5_compound A macro_f1,0.23778553105715772,0.2378,0.0006,ok
tab:control s5_compound A auc,0.7613886296987471,0.7614,0.0006,ok
tab:control s5_compound B macro_f1,0.20939555969075513,0.2094,0.0006,ok
tab:control s5_compound B auc,0.7197771566471163,0.7198,0.0006,ok
tab:policy s1_in_distribution coverage,0.9939195058392047,0.994,0.0006,ok
tab:policy s1_in_distribution human_fpr,0.010426459276984873,0.0104,0.0006,ok
tab:policy s1_in_distribution CI lo,0.008716738713192554,0.0087,0.002,ok
tab:policy s1_in_distribution CI hi,0.012160975618683737,0.0122,0.002,ok
tab:policy s2_unseen_generator coverage,0.9952753220817807,0.995,0.0006,ok
tab:policy s2_unseen_generator human_fpr,0.01078695758764403,0.0108,0.0006,ok
tab:policy s2_unseen_generator CI lo,0.009427420457903415,0.0094,0.002,ok
tab:policy s2_unseen_generator CI hi,0.012222028655783783,0.0122,0.002,ok
